Date,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Adj Close,MSFT_Volume,BAC_Open,BAC_High,BAC_Low,BAC_Close,BAC_Adj Close,BAC_Volume,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume,JPM_Open,JPM_High,JPM_Low,JPM_Close,JPM_Adj Close,JPM_Volume,PG_Open,PG_High,PG_Low,PG_Close,PG_Adj Close,PG_Volume,PFE_Open,PFE_High,PFE_Low,PFE_Close,PFE_Adj Close,PFE_Volume,KO_Open,KO_High,KO_Low,KO_Close,KO_Adj Close,KO_Volume,JNJ_Open,JNJ_High,JNJ_Low,JNJ_Close,JNJ_Adj Close,JNJ_Volume,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Adj Close,SPY_Volume
2010-01-04 00:00:00+00:00,30.62,31.1,30.59,30.95,23.35,38409100,15.24,15.75,15.12,15.69,12.52,180845200,7.62,7.66,7.59,7.64,6.45,493729600,41.79,42.99,41.67,42.85,29.16,35460500,61.11,61.31,60.63,61.12,39.43,9190800,17.33,17.97,17.31,17.96,10.19,54898644,28.58,28.61,28.45,28.52,18.09,13870400,64.71,64.99,64.41,64.68,41.99,9506200,112.37,113.39,111.51,113.33,86.32,118944600
2010-01-05 00:00:00+00:00,30.85,31.1,30.64,30.96,23.35,49749600,15.74,16.21,15.7,16.2,12.93,209521300,7.66,7.7,7.62,7.66,6.47,601904800,42.79,43.84,42.78,43.68,29.72,41208300,61.13,61.28,60.6,61.14,39.44,8649400,17.95,17.96,17.6,17.7,10.04,45714931,28.42,28.5,28.07,28.17,17.87,23172400,64.58,64.62,63.82,63.93,41.5,10673100,113.26,113.68,112.85,113.63,86.54,111579900
2010-01-06 00:00:00+00:00,30.88,31.08,30.52,30.77,23.21,58182400,16.21,16.54,16.03,16.39,13.08,205257900,7.66,7.69,7.53,7.53,6.36,552160000,43.45,44.09,43.31,43.92,29.88,27729000,60.94,60.96,60.5,60.85,39.26,9908400,17.7,17.85,17.56,17.65,10.01,43640975,28.17,28.22,27.99,28.17,17.86,19264600,63.9,64.54,63.83,64.45,41.84,13171500,113.52,113.99,113.43,113.71,86.61,116074400
2010-01-07 00:00:00+00:00,30.63,30.7,30.19,30.45,22.97,50559700,16.68,17.19,16.51,16.93,13.51,320868400,7.56,7.57,7.47,7.52,6.35,477131200,43.79,45.12,43.61,44.79,30.48,44864700,60.58,60.7,60.24,60.52,39.04,8972800,17.69,17.71,17.51,17.58,9.97,41557112,28.17,28.18,27.88,28.09,17.82,13234600,64.25,64.35,63.74,63.99,41.54,10901600,113.5,114.33,113.18,114.19,86.97,131091100
2010-01-08 00:00:00+00:00,30.28,30.88,30.24,30.66,23.13,51197400,16.98,17.1,16.63,16.78,13.39,220104700,7.51,7.57,7.47,7.57,6.39,447610800,44.37,44.7,44.08,44.68,30.4,33110100,60.36,60.53,60.06,60.44,38.99,8464600,17.67,17.75,17.57,17.72,10.05,32049716,27.73,27.82,27.38,27.58,17.49,28712400,63.92,64.26,63.63,64.21,41.68,7898000,113.89,114.62,113.66,114.57,87.26,126402800
2010-01-11 00:00:00+00:00,30.71,30.76,30.12,30.27,22.83,68754700,16.99,17.14,16.72,16.93,13.51,168991600,7.6,7.61,7.44,7.5,6.34,462229600,45.12,45.19,44.31,44.53,30.3,31878700,60.08,60.27,59.01,60.2,38.84,14774600,17.87,17.98,17.71,17.87,10.13,34199665,27.58,28.23,27.4,28.14,17.84,28642400,64.75,64.75,64.01,64.22,41.69,7975700,115.08,115.13,114.24,114.73,87.38,106375700
2010-01-12 00:00:00+00:00,30.15,30.4,29.91,30.07,22.68,65912100,16.72,16.75,16.17,16.36,13.05,223486800,7.47,7.49,7.37,7.42,6.26,594459600,43.99,44.15,42.94,43.49,29.59,47109600,60.7,61.36,60.5,60.89,39.28,13460700,17.84,18.02,17.69,17.81,10.1,43501847,28.05,28.5,28.03,28.44,18.04,23269800,64.13,64.72,64.02,64.56,41.91,10820700,113.97,114.21,113.22,113.66,86.57,163333500
2010-01-13 00:00:00+00:00,30.26,30.52,30.01,30.35,22.89,51863500,16.43,16.78,16.15,16.62,13.26,192609900,7.42,7.53,7.29,7.52,6.35,605892000,43.55,44.53,42.87,44.25,30.11,39622000,61.04,61.79,60.91,61.52,39.69,16968100,17.9,18.31,17.9,18.23,10.34,62728072,28.43,28.72,28.34,28.51,18.08,15157400,64.54,65.23,64.54,64.97,42.18,13023800,113.95,114.94,113.37,114.62,87.3,161822000
2010-01-14 00:00:00+00:00,30.31,31.1,30.26,30.96,23.35,63228100,16.63,16.92,16.61,16.82,13.42,142634200,7.5,7.52,7.47,7.48,6.32,432894000,44.2,44.79,44.1,44.69,30.41,37938300,61.42,61.74,61.38,61.58,39.73,9139500,18.22,18.5,18.15,18.39,10.43,49820367,28.52,28.62,28.39,28.57,18.11,12392600,65.2,65.27,64.75,65.1,42.26,7899000,114.49,115.14,114.42,114.93,87.53,115718800
2010-01-15 00:00:00+00:00,31.08,31.24,30.71,30.86,23.28,79913200,16.64,16.65,16.23,16.26,12.98,195117100,7.53,7.56,7.35,7.35,6.21,594067600,44.3,44.43,43.34,43.68,29.72,69738500,61.6,61.86,60.44,60.82,39.24,15768300,18.43,18.67,18.27,18.49,10.49,80760537,28.48,28.67,28.02,28.15,17.85,27460800,65.14,65.2,63.98,64.56,41.91,20995000,114.73,114.84,113.2,113.64,86.55,212283100
2010-01-19 00:00:00+00:00,30.75,31.24,30.68,31.1,23.46,46575700,16.06,16.47,15.84,16.32,13.02,181616500,7.44,7.69,7.4,7.68,6.49,730007600,43.4,43.75,42.9,43.28,29.45,41731500,60.8,61.83,60.8,61.72,39.82,11577700,18.53,19.04,18.5,18.98,10.76,82562244,28.11,28.25,27.96,28.21,17.89,14615400,64.14,65.75,64.11,65.35,42.42,15181800,113.62,115.13,113.59,115.06,87.63,139172700
2010-01-20 00:00:00+00:00,30.81,30.94,30.31,30.59,23.08,54849500,16.22,16.63,16.18,16.49,13.16,288741100,7.68,7.7,7.48,7.56,6.39,612152800,43.01,43.68,42.71,43.4,29.53,39934400,60.97,61.04,60.1,60.45,39.28,11557800,19.02,19.32,18.85,18.92,10.73,83522965,28.08,28.19,27.65,27.75,17.6,18810200,65.47,65.95,64.47,65.15,42.3,13033000,114.28,114.45,112.98,113.89,86.74,216490200
2010-01-21 00:00:00+00:00,30.61,30.72,30,30.01,22.64,73086700,16.46,16.66,15.2,15.47,12.34,551285500,7.57,7.62,7.4,7.43,6.28,608154400,43.04,43.15,40.32,40.54,27.58,137547700,60.56,60.93,59.45,59.84,38.88,14298400,19.01,19.12,18.19,18.25,10.35,81343188,27.77,27.79,27.09,27.18,17.24,27396800,65.07,65.47,63.8,63.97,41.53,14473900,113.92,114.27,111.56,111.7,85.07,344859600
2010-01-22 00:00:00+00:00,30,30.2,28.84,28.96,21.85,102004600,15.26,15.52,14.71,14.9,11.89,369620800,7.39,7.41,7.04,7.06,5.96,881767600,40.65,41.2,38.82,39.16,26.65,106634900,59.75,60.69,59.22,60.31,39.19,17703200,18.27,18.9,17.93,17.99,10.2,65034962,27.17,27.43,26.99,27.12,17.2,23551400,63.91,64.19,63.09,63.2,41.03,14017200,111.2,111.74,109.09,109.21,83.18,345942400
2010-01-25 00:00:00+00:00,29.24,29.66,29.1,29.32,22.12,63373000,15.16,15.27,14.77,14.98,11.95,262351600,7.23,7.31,7.15,7.25,6.12,1065699600,39.76,39.89,38.84,39.21,26.68,56572200,60.83,60.98,60.15,60.63,39.4,11630800,18.25,18.26,17.87,17.88,10.14,51933110,27.25,27.27,26.94,27.17,17.23,16853200,63.67,63.7,63.05,63.22,41.04,10001700,110.21,110.41,109.41,109.77,83.6,186937500
2010-01-26 00:00:00+00:00,29.2,29.85,29.09,29.5,22.25,66639900,14.94,15.17,14.72,14.77,11.79,212380600,7.36,7.63,7.24,7.36,6.21,1867110000,39,39.84,38.28,38.44,26.16,52975300,60.17,60.95,60,60.69,39.44,13079000,17.76,17.93,17.68,17.82,10.11,45955032,27.03,27.25,26.93,27.07,17.17,15515000,62.64,63.01,62.22,62.79,40.76,15630300,109.34,110.47,109.04,109.31,83.25,211168800
2010-01-27 00:00:00+00:00,29.35,29.82,29.02,29.67,22.38,63949500,14.71,15.29,14.68,15.19,12.12,258716200,7.39,7.52,7.13,7.42,6.27,1722568400,38.35,39.49,38.07,39.33,26.76,66314300,60.46,60.98,59.95,60.81,39.51,15228400,17.82,18.11,17.7,18.03,10.23,57558308,27,27.33,26.85,27.25,17.28,20414800,62.78,63.72,62.7,63.44,41.18,14982400,109.17,110.08,108.33,109.83,83.65,271863600
2010-01-28 00:00:00+00:00,29.84,29.87,28.89,29.16,22,117513700,15.4,15.59,15.01,15.37,12.26,232729500,7.32,7.34,7.1,7.12,6.01,1173502400,39.68,40.04,38.72,39.48,26.86,65047400,61.67,63.31,61.58,61.68,40.08,26930000,18.09,18.12,17.66,17.68,10.03,53690549,27.35,27.42,27.07,27.09,17.18,20905200,63.57,64.07,63.04,63.8,41.42,17096000,110.19,110.25,107.91,108.57,82.69,316104000
